,start_distance,shot_distance,number_of_passes,possession_duration,goal,xG
0,38.948684188300895,24.793547547698783,5.0,95.0,1.0,0.12733692
1,41.182520563948,26.705991837039118,2.0,56.0,0.0,0.09060272
2,91.41115905621152,15.231546211727817,5.0,20.0,0.0,0.2812043
3,66.12110101926616,14.805404418657401,7.0,19.0,0.0,0.086194605
4,66.12110101926616,8.302409288875126,33.0,233.0,0.0,0.06593959
5,57.271284253105414,11.119802156513403,4.0,8.0,1.0,0.46849537
6,63.28506932918696,13.600367642089678,0.0,9.0,0.0,0.06254031
7,31.25699921617557,9.656603957913982,5.0,14.0,0.0,0.524612
8,116.76043850551436,15.608331108738057,19.0,59.0,0.0,0.23515217
9,73.68174807915459,10.270345661174218,1.0,9.0,1.0,0.5626058
10,100.17983829094555,15.720050890502863,55.0,183.0,0.0,0.08906352
11,97.12363255150623,26.62048083712989,5.0,56.0,0.0,0.024023628
12,38.948684188300895,21.740745157422733,6.0,14.0,0.0,0.07149817
13,12.529964086141668,20.900956915892625,4.0,8.0,1.0,0.05023626
14,36.87817782917155,26.331919793285113,21.0,193.0,0.0,0.029373892
15,77.4919350642375,7.22772439983706,7.0,19.0,0.0,0.2633112
